country,year,co2_per_capita
Oceania,1974,9.303
Oceania,1975,9.291
Oceania,1976,9.119
Oceania,1977,9.672
Oceania,1978,10.059
Oceania,1979,10.013
Oceania,1980,10.62
Oceania,1981,10.833
Oceania,1982,10.881
Oceania,1983,10.314
Oceania,1984,10.675
Oceania,1985,10.811
Oceania,1986,10.625
Oceania,1987,11.137
Oceania,1988,11.2
Oceania,1989,11.651
Oceania,1990,11.547
Oceania,1991,11.491
Oceania,1992,11.488
Oceania,1993,11.492
Oceania,1994,11.644
Oceania,1995,11.759
Oceania,1996,11.934
Oceania,1997,12.201
Oceania,1998,12.385
Oceania,1999,12.529
Oceania,2000,12.576
Oceania,2001,12.767
Oceania,2002,12.835
Oceania,2003,12.934
Oceania,2004,13.168
Oceania,2005,13.034
Oceania,2006,13.094
Oceania,2007,13.022
Oceania,2008,12.979
Oceania,2009,12.438
Oceania,2010,12.327
Oceania,2011,12.139
Oceania,2012,11.912
Oceania,2013,11.478
Oceania,2014,11.517
Oceania,2015,11.47
Oceania,2016,11.597
Oceania,2017,11.442
Oceania,2018,11.327
Oceania,2019,11.26
Oceania,2020,10.486
South America,1960,1.34
South America,1961,1.321
South America,1962,1.375
South America,1963,1.362
South America,1964,1.391
South America,1965,1.414
South America,1966,1.447
South America,1967,1.497
South America,1968,1.572
South America,1969,1.66
South America,1970,1.76
South America,1971,1.764
South America,1972,1.804
South America,1973,1.91
South America,1974,1.981
South America,1975,1.916
South America,1976,1.907
South America,1977,1.934
South America,1978,2.006
South America,1979,2.102
South America,1980,2.114
South America,1981,1.99
South America,1982,1.952
South America,1983,1.891
South America,1984,1.875
South America,1985,1.874
South America,1986,1.939
South America,1987,1.998
South America,1988,2.041
South America,1989,2.001
South America,1990,2.016
South America,1991,2.005
South America,1992,2.009
South America,1993,2.087
South America,1994,2.106
South America,1995,2.169
South America,1996,2.215
South America,1997,2.309
South America,1998,2.429
South America,1999,2.445
South America,2000,2.358
South America,2001,2.355
South America,2002,2.366
South America,2003,2.366
South America,2004,2.362
South America,2005,2.426
South America,2006,2.427
South America,2007,2.474
South America,2008,2.621
South America,2009,2.553
South America,2010,2.758
South America,2011,2.784
South America,2012,2.895
South America,2013,3.012
South America,2014,3.012
South America,2015,2.922
South America,2016,2.799
South America,2017,2.755
South America,2018,2.577
South America,2019,2.494
South America,2020,2.308
